year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,date
2024,11,UA,United Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",5700.0,676.0,206.35,6.09,256.73,0.0,206.83,18.0,2.0,44139.0,18061.0,381.0,8930.0,0.0,16767.0,0.11859649122807017,2024-11-01
2024,11,UA,United Air Lines Network,LAS,"Las Vegas, NV: Harry Reid International",1281.0,215.0,74.07,3.18,64.16,0.0,73.6,4.0,2.0,13260.0,4717.0,193.0,2859.0,0.0,5491.0,0.1678376268540203,2024-11-01
2024,11,UA,United Air Lines Network,LAX,"Los Angeles, CA: Los Angeles International",2381.0,362.0,133.97,5.87,115.96,0.0,106.21,14.0,5.0,23548.0,9068.0,211.0,4138.0,0.0,10131.0,0.15203695926081479,2024-11-01
2024,11,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",675.0,106.0,25.79,3.19,51.92,0.0,25.1,1.0,0.0,6651.0,1377.0,290.0,2656.0,0.0,2328.0,0.15703703703703703,2024-11-01
2024,11,UA,United Air Lines Network,MCO,"Orlando, FL: Orlando International",1175.0,168.0,64.34,2.59,43.6,0.0,57.47,3.0,0.0,10283.0,3040.0,200.0,1844.0,0.0,5199.0,0.14297872340425533,2024-11-01
2024,11,UA,United Air Lines Network,MIA,"Miami, FL: Miami International",561.0,90.0,26.22,0.79,33.28,0.0,29.71,0.0,0.0,4814.0,1247.0,78.0,1587.0,0.0,1902.0,0.16042780748663102,2024-11-01
2024,11,UA,United Air Lines Network,MSP,"Minneapolis, MN: Minneapolis-St Paul International",443.0,64.0,22.92,1.71,16.46,0.0,22.91,1.0,0.0,3884.0,980.0,72.0,637.0,0.0,2195.0,0.14446952595936793,2024-11-01
2024,11,UA,United Air Lines Network,ORD,"Chicago, IL: Chicago O'Hare International",7178.0,1163.0,306.27,7.63,544.77,0.0,304.32,12.0,2.0,65393.0,20554.0,590.0,18251.0,0.0,25998.0,0.1620228475898579,2024-11-01
2024,11,UA,United Air Lines Network,PHL,"Philadelphia, PA: Philadelphia International",340.0,59.0,17.15,1.2,20.34,0.0,20.31,0.0,0.0,3571.0,1292.0,65.0,769.0,0.0,1445.0,0.17352941176470588,2024-11-01
2024,11,UA,United Air Lines Network,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",962.0,158.0,39.67,2.69,52.85,0.0,62.79,3.0,1.0,9482.0,2411.0,200.0,1919.0,0.0,4952.0,0.16424116424116425,2024-11-01
2024,11,UA,United Air Lines Network,SAN,"San Diego, CA: San Diego International",875.0,150.0,37.49,5.22,67.64,0.0,39.65,1.0,1.0,8627.0,2120.0,542.0,2846.0,0.0,3119.0,0.17142857142857143,2024-11-01
2024,11,UA,United Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",709.0,108.0,29.69,2.33,34.83,0.0,41.15,1.0,0.0,5547.0,1482.0,120.0,1264.0,0.0,2681.0,0.152327221438646,2024-11-01
2024,11,UA,United Air Lines Network,SFO,"San Francisco, CA: San Francisco International",4919.0,1164.0,229.95,19.87,656.47,0.0,257.71,33.0,5.0,93512.0,17182.0,2250.0,48517.0,0.0,25563.0,0.23663346208578978,2024-11-01
2024,11,UA,United Air Lines Network,SLC,"Salt Lake City, UT: Salt Lake City International",228.0,42.0,17.05,0.73,8.04,0.0,16.18,0.0,0.0,2284.0,936.0,33.0,320.0,0.0,995.0,0.18421052631578946,2024-11-01
2024,11,UA,United Air Lines Network,TPA,"Tampa, FL: Tampa International",730.0,95.0,25.95,0.88,28.78,0.0,39.39,1.0,1.0,6325.0,1846.0,63.0,1077.0,0.0,3339.0,0.13013698630136986,2024-11-01
